do_nms,iou_threshold,score_threshold,filter_too_big,correct,correct_box,incorrect,undetected
True,0.1,0.01,True,37,270,14341,148
True,0.1,0.01,False,26,251,16185,175
True,0.1,0.02,True,33,250,9703,171
True,0.1,0.02,False,21,231,11212,199
True,0.1,0.05,True,26,201,2991,225
True,0.1,0.05,False,17,177,4014,255
True,0.1,0.1,True,9,151,752,287
True,0.1,0.1,False,7,146,1412,290
True,0.1,0.2,True,4,104,165,347
True,0.1,0.2,False,5,111,495,321
True,0.1,0.3,True,3,72,86,382
True,0.1,0.3,False,5,91,269,334
True,0.1,0.4,True,2,56,41,400
True,0.1,0.4,False,4,78,171,342
True,0.1,0.5,True,2,42,23,417
True,0.1,0.5,False,4,65,131,350
True,0.1,0.6,True,1,31,12,430
True,0.1,0.6,False,2,53,111,358
True,0.1,0.7,True,1,23,5,442
True,0.1,0.7,False,2,40,101,365
True,0.1,0.8,True,0,16,1,450
True,0.1,0.8,False,1,30,88,376
True,0.1,0.9,True,0,5,1,461
True,0.1,0.9,False,0,9,42,420
True,0.1,0.95,True,0,1,0,465
True,0.1,0.95,False,0,1,6,459
True,0.1,0.99,True,0,0,0,466
True,0.1,0.99,False,0,0,0,466
True,0.2,0.01,True,42,289,16712,124
True,0.2,0.01,False,39,290,20457,132
True,0.2,0.02,True,37,266,11189,151
True,0.2,0.02,False,30,269,14140,161
True,0.2,0.05,True,28,204,3371,220
True,0.2,0.05,False,21,205,5153,230
True,0.2,0.1,True,9,151,814,287
True,0.2,0.1,False,8,160,1876,279
True,0.2,0.2,True,4,104,170,347
True,0.2,0.2,False,6,116,677,317
True,0.2,0.3,True,3,72,87,382
True,0.2,0.3,False,5,93,370,333
True,0.2,0.4,True,2,56,41,400
True,0.2,0.4,False,4,79,216,342
True,0.2,0.5,True,2,42,23,417
True,0.2,0.5,False,4,65,153,350
True,0.2,0.6,True,1,31,12,430
True,0.2,0.6,False,2,53,116,358
True,0.2,0.7,True,1,23,5,442
True,0.2,0.7,False,2,40,102,365
True,0.2,0.8,True,0,16,1,450
True,0.2,0.8,False,1,30,88,376
True,0.2,0.9,True,0,5,1,461
True,0.2,0.9,False,0,9,42,420
True,0.2,0.95,True,0,1,0,465
