do_nms,iou_threshold,score_threshold,filter_too_big,correct,correct_box,incorrect
True,0.1,0.01,True,43,283,14266
True,0.1,0.01,False,35,246,16144
True,0.1,0.02,True,31,249,10961
True,0.1,0.02,False,22,218,12566
True,0.1,0.05,True,14,193,4136
True,0.1,0.05,False,8,175,5338
True,0.1,0.1,True,8,138,1108
True,0.1,0.1,False,3,134,1957
True,0.1,0.2,True,3,89,209
True,0.1,0.2,False,2,99,666
True,0.1,0.3,True,3,64,90
True,0.1,0.3,False,2,80,359
True,0.2,0.01,True,50,300,16646
True,0.2,0.01,False,49,298,20460
True,0.2,0.02,True,38,258,12726
True,0.2,0.02,False,35,256,15974
True,0.2,0.05,True,15,196,4751
True,0.2,0.05,False,13,199,7009
True,0.2,0.1,True,8,137,1242
True,0.2,0.1,False,5,147,2688
True,0.2,0.2,True,3,88,226
True,0.2,0.2,False,2,104,937
True,0.2,0.3,True,3,64,96
True,0.2,0.3,False,2,82,504
True,0.3,0.01,True,59,321,18371
True,0.3,0.01,False,60,323,24346
True,0.3,0.02,True,42,271,14011
True,0.3,0.02,False,41,275,19157
True,0.3,0.05,True,16,203,5221
True,0.3,0.05,False,14,206,8799
True,0.3,0.1,True,8,142,1351
True,0.3,0.1,False,6,153,3587
True,0.3,0.2,True,3,90,242
True,0.3,0.2,False,2,105,1273
True,0.3,0.3,True,3,65,102
True,0.3,0.3,False,2,82,682
True,0.4,0.01,True,66,334,19722
True,0.4,0.01,False,65,342,27944
True,0.4,0.02,True,44,279,15020
True,0.4,0.02,False,42,290,22198
True,0.4,0.05,True,18,209,5611
True,0.4,0.05,False,16,219,10696
True,0.4,0.1,True,8,144,1448
True,0.4,0.1,False,6,158,4668
True,0.4,0.2,True,3,90,260
True,0.4,0.2,False,2,109,1718
True,0.4,0.3,True,3,65,109
True,0.4,0.3,False,2,82,892
True,0.5,0.01,True,73,355,20686
True,0.5,0.01,False,74,373,31328
True,0.5,0.02,True,48,294,15749
True,0.5,0.02,False,48,313,25184
True,0.5,0.05,True,21,216,5876
True,0.5,0.05,False,20,235,12786
True,0.5,0.1,True,9,149,1519
True,0.5,0.1,False,8,165,5987
True,0.5,0.2,True,3,91,269
True,0.5,0.2,False,3,110,2337
True,0.5,0.3,True,3,65,111
True,0.5,0.3,False,2,82,1205
True,0.6,0.01,True,89,420,21444
True,0.6,0.01,False,92,453,34470
True,0.6,0.02,True,61,340,16328
True,0.6,0.02,False,62,374,28058
True,0.6,0.05,True,30,242,6108
True,0.6,0.05,False,30,277,14948
True,0.6,0.1,True,16,163,1584
True,0.6,0.1,False,16,192,7463
True,0.6,0.2,True,6,99,281
True,0.6,0.2,False,6,129,3058
True,0.6,0.3,True,4,68,115
True,0.6,0.3,False,4,95,1559
True,0.7,0.01,True,111,479,22104
True,0.7,0.01,False,118,521,37472
True,0.7,0.02,True,81,385,16845
True,0.7,0.02,False,86,426,30870
True,0.7,0.05,True,43,275,6332
True,0.7,0.05,False,47,314,17219
True,0.7,0.1,True,23,186,1649
True,0.7,0.1,False,26,217,9131
True,0.7,0.2,True,10,103,297
True,0.7,0.2,False,13,135,3913
True,0.7,0.3,True,7,69,117
True,0.7,0.3,False,9,99,2009
True,0.8,0.01,True,135,563,22618
True,0.8,0.01,False,148,627,39963
True,0.8,0.02,True,95,449,17256
True,0.8,0.02,False,106,511,33242
True,0.8,0.05,True,49,322,6530
True,0.8,0.05,False,58,381,19260
True,0.8,0.1,True,26,212,1710
True,0.8,0.1,False,34,259,10728
True,0.8,0.2,True,10,115,305
True,0.8,0.2,False,15,159,4866
True,0.8,0.3,True,7,73,118
True,0.8,0.3,False,11,113,2493
True,0.9,0.01,True,164,731,23026
True,0.9,0.01,False,180,826,41831
True,0.9,0.02,True,112,580,17587
True,0.9,0.02,False,126,672,35028
True,0.9,0.05,True,57,424,6712
True,0.9,0.05,False,68,509,20866
True,0.9,0.1,True,28,278,1783
True,0.9,0.1,False,38,349,12068
True,0.9,0.2,True,11,139,320
True,0.9,0.2,False,18,198,5747
True,0.9,0.3,True,8,83,120
True,0.9,0.3,False,14,131,3011
False,0.1,0.01,True,614,4110,72122
False,0.1,0.01,False,722,4970,191299
False,0.1,0.02,True,424,2914,41871
False,0.1,0.02,False,519,3658,137340
False,0.1,0.05,True,205,1643,12480
False,0.1,0.05,False,267,2169,73610
False,0.1,0.1,True,72,802,3028
False,0.1,0.1,False,108,1147,38631
False,0.1,0.2,True,20,239,458
False,0.1,0.2,False,41,396,15305
False,0.1,0.3,True,10,98,140
False,0.1,0.3,False,21,174,7003
False,0.2,0.01,True,614,4110,72122
False,0.2,0.01,False,722,4970,191299
False,0.2,0.02,True,424,2914,41871
False,0.2,0.02,False,519,3658,137340
False,0.2,0.05,True,205,1643,12480
False,0.2,0.05,False,267,2169,73610
False,0.2,0.1,True,72,802,3028
False,0.2,0.1,False,108,1147,38631
False,0.2,0.2,True,20,239,458
False,0.2,0.2,False,41,396,15305
False,0.2,0.3,True,10,98,140
False,0.2,0.3,False,21,174,7003
False,0.3,0.01,True,614,4110,72122
False,0.3,0.01,False,722,4970,191299
False,0.3,0.02,True,424,2914,41871
False,0.3,0.02,False,519,3658,137340
False,0.3,0.05,True,205,1643,12480
False,0.3,0.05,False,267,2169,73610
False,0.3,0.1,True,72,802,3028
False,0.3,0.1,False,108,1147,38631
False,0.3,0.2,True,20,239,458
False,0.3,0.2,False,41,396,15305
False,0.3,0.3,True,10,98,140
False,0.3,0.3,False,21,174,7003
False,0.4,0.01,True,614,4110,72122
False,0.4,0.01,False,722,4970,191299
False,0.4,0.02,True,424,2914,41871
False,0.4,0.02,False,519,3658,137340
False,0.4,0.05,True,205,1643,12480
False,0.4,0.05,False,267,2169,73610
False,0.4,0.1,True,72,802,3028
False,0.4,0.1,False,108,1147,38631
False,0.4,0.2,True,20,239,458
False,0.4,0.2,False,41,396,15305
False,0.4,0.3,True,10,98,140
False,0.4,0.3,False,21,174,7003
False,0.5,0.01,True,614,4110,72122
False,0.5,0.01,False,722,4970,191299
False,0.5,0.02,True,424,2914,41871
False,0.5,0.02,False,519,3658,137340
False,0.5,0.05,True,205,1643,12480
False,0.5,0.05,False,267,2169,73610
False,0.5,0.1,True,72,802,3028
False,0.5,0.1,False,108,1147,38631
False,0.5,0.2,True,20,239,458
False,0.5,0.2,False,41,396,15305
False,0.5,0.3,True,10,98,140
False,0.5,0.3,False,21,174,7003
False,0.6,0.01,True,614,4110,72122
