do_nms,iou_threshold,score_threshold,filter_too_big,correct,correct_box,incorrect,undetected
True,0.0,0.0,True,28,262,12321,246
True,0.0,0.0,False,2,7,484,456
True,0.0,0.01,True,28,248,11369,260
True,0.0,0.01,False,2,7,466,456
True,0.0,0.02,True,27,231,9118,278
True,0.0,0.02,False,2,7,409,456
True,0.0,0.03,True,26,215,7036,293
True,0.0,0.03,False,2,7,333,456
True,0.0,0.04,True,24,198,5441,310
True,0.0,0.04,False,2,7,276,456
True,0.0,0.05,True,23,183,4223,325
True,0.0,0.05,False,2,7,237,456
True,0.0,0.06,True,23,171,3323,334
True,0.0,0.06,False,2,7,209,456
True,0.0,0.07,True,23,166,2658,340
True,0.0,0.07,False,2,7,191,456
True,0.0,0.08,True,22,162,2177,343
True,0.0,0.08,False,2,7,174,456
True,0.0,0.09,True,22,154,1770,351
True,0.0,0.09,False,2,7,161,456
True,0.0,0.1,True,21,147,1417,362
True,0.0,0.1,False,2,7,150,456
True,0.0,0.11,True,20,134,1148,378
True,0.0,0.11,False,2,7,142,456
True,0.0,0.12,True,19,130,967,383
True,0.0,0.12,False,2,7,138,456
True,0.0,0.13,True,17,120,835,395
True,0.0,0.13,False,2,7,126,456
True,0.0,0.14,True,15,114,697,403
True,0.0,0.14,False,2,7,121,456
True,0.0,0.15,True,13,109,609,410
True,0.0,0.15,False,2,7,118,456
True,0.0,0.16,True,13,104,535,415
True,0.0,0.16,False,2,7,115,456
True,0.0,0.17,True,12,100,455,419
True,0.0,0.17,False,2,7,114,456
True,0.0,0.18,True,12,99,392,421
True,0.0,0.18,False,2,7,110,456
True,0.0,0.19,True,12,97,339,422
True,0.0,0.19,False,2,7,110,456
True,0.0,0.2,True,12,96,305,424
True,0.0,0.2,False,2,7,110,456
True,0.0,0.21,True,12,94,267,428
True,0.0,0.21,False,2,7,108,456
True,0.0,0.22,True,12,88,236,433
True,0.0,0.22,False,2,7,107,456
True,0.0,0.23,True,12,81,209,441
True,0.0,0.23,False,2,7,107,456
True,0.0,0.24,True,12,77,192,444
True,0.0,0.24,False,2,7,107,456
True,0.0,0.25,True,12,76,168,448
True,0.0,0.25,False,2,7,107,456
True,0.0,0.26,True,11,74,148,451
True,0.0,0.26,False,2,7,106,456
True,0.0,0.27,True,11,74,134,451
True,0.0,0.27,False,2,7,106,456
True,0.0,0.28,True,11,74,120,453
True,0.0,0.28,False,2,7,104,456
True,0.0,0.29,True,11,73,111,454
True,0.0,0.29,False,2,7,104,456
True,0.0,0.3,True,11,72,102,456
True,0.0,0.3,False,2,7,101,456
True,0.0,0.31,True,11,70,92,458
True,0.0,0.31,False,2,7,100,456
True,0.0,0.32,True,10,68,85,461
True,0.0,0.32,False,2,7,100,456
True,0.0,0.33,True,10,66,77,465
True,0.0,0.33,False,2,7,100,456
True,0.0,0.34,True,10,66,72,465
True,0.0,0.34,False,2,7,99,456
True,0.0,0.35,True,9,66,65,467
True,0.0,0.35,False,2,7,98,456
True,0.0,0.36,True,9,64,65,469
True,0.0,0.36,False,2,7,98,456
True,0.0,0.37,True,9,63,61,469
True,0.0,0.37,False,2,7,98,456
True,0.0,0.38,True,9,60,58,472
True,0.0,0.38,False,2,7,98,456
True,0.0,0.39,True,9,60,54,472
True,0.0,0.39,False,2,7,98,456
True,0.0,0.4,True,9,60,48,473
True,0.0,0.4,False,2,7,97,456
True,0.0,0.41,True,7,59,42,476
True,0.0,0.41,False,2,7,97,456
True,0.0,0.42,True,7,56,40,479
True,0.0,0.42,False,2,7,95,456
True,0.0,0.43,True,7,55,39,480
True,0.0,0.43,False,2,7,95,456
True,0.0,0.44,True,7,52,35,483
True,0.0,0.44,False,2,7,94,456
True,0.0,0.45,True,7,49,32,487
True,0.0,0.45,False,2,7,93,456
True,0.0,0.46,True,7,49,30,487
True,0.0,0.46,False,2,7,91,456
True,0.0,0.47,True,7,46,29,490
True,0.0,0.47,False,2,7,90,456
True,0.0,0.48,True,7,45,26,490
True,0.0,0.48,False,2,7,88,456
True,0.0,0.49,True,7,44,26,490
True,0.0,0.49,False,2,7,87,456
True,0.0,0.5,True,6,44,25,491
True,0.0,0.5,False,2,7,86,456
True,0.0,0.51,True,6,42,21,494
True,0.0,0.51,False,2,7,86,456
True,0.0,0.52,True,6,41,18,495
True,0.0,0.52,False,2,7,86,456
True,0.0,0.53,True,6,38,18,498
True,0.0,0.53,False,2,6,86,457
True,0.0,0.54,True,6,38,17,498
True,0.0,0.54,False,2,6,84,458
True,0.0,0.55,True,6,38,16,498
True,0.0,0.55,False,2,6,84,458
True,0.0,0.56,True,6,35,15,501
True,0.0,0.56,False,2,6,84,458
True,0.0,0.57,True,6,34,13,502
True,0.0,0.57,False,2,6,84,458
True,0.0,0.58,True,6,33,13,503
True,0.0,0.58,False,2,6,84,458
True,0.0,0.59,True,6,33,12,504
True,0.0,0.59,False,2,6,84,458
True,0.0,0.6,True,6,32,12,505
True,0.0,0.6,False,2,6,84,458
True,0.0,0.61,True,6,31,11,507
True,0.0,0.61,False,2,6,83,458
True,0.0,0.62,True,6,30,11,508
True,0.0,0.62,False,2,6,83,458
True,0.0,0.63,True,6,28,11,510
True,0.0,0.63,False,2,6,83,458
True,0.0,0.64,True,6,27,10,512
True,0.0,0.64,False,2,6,83,458
True,0.0,0.65,True,6,27,9,512
True,0.0,0.65,False,2,6,82,459
True,0.0,0.66,True,6,27,6,512
True,0.0,0.66,False,2,6,82,459
True,0.0,0.67,True,6,27,4,514
True,0.0,0.67,False,2,6,81,460
True,0.0,0.68,True,6,26,4,515
True,0.0,0.68,False,2,6,80,461
True,0.0,0.69,True,6,25,4,516
True,0.0,0.69,False,2,6,80,461
