,do_nms,iou_threshold,score_threshold,filter_too_big,correct_box,true positive,false positive,false negative,Precision,Precision (correct bbox),Recall,Recall (correct bbox),F1
0,True,0.0,0.0,True,262,28,12583,246,0.222,2.3,10.219,105.839,0.435
1,True,0.0,0.0,False,7,2,491,456,0.406,1.826,0.437,1.965,0.421
2,True,0.0,0.01,True,248,28,11617,260,0.24,2.37,9.722,95.833,0.468
3,True,0.0,0.01,False,7,2,473,456,0.421,1.895,0.437,1.965,0.429
4,True,0.0,0.02,True,231,27,9349,278,0.288,2.752,8.852,84.59,0.558
5,True,0.0,0.02,False,7,2,416,456,0.478,2.153,0.437,1.965,0.457
6,True,0.0,0.03,True,215,26,7251,293,0.357,3.312,8.15,75.549,0.684
7,True,0.0,0.03,False,7,2,340,456,0.585,2.632,0.437,1.965,0.5
8,True,0.0,0.04,True,198,24,5639,310,0.424,3.92,7.186,66.467,0.801
9,True,0.0,0.04,False,7,2,283,456,0.702,3.158,0.437,1.965,0.539
10,True,0.0,0.05,True,183,23,4406,325,0.519,4.651,6.609,59.195,0.962
11,True,0.0,0.05,False,7,2,244,456,0.813,3.659,0.437,1.965,0.568
12,True,0.0,0.06,True,171,23,3494,334,0.654,5.516,6.443,54.342,1.187
13,True,0.0,0.06,False,7,2,216,456,0.917,4.128,0.437,1.965,0.592
14,True,0.0,0.07,True,166,23,2824,340,0.808,6.639,6.336,52.066,1.433
15,True,0.0,0.07,False,7,2,198,456,1.0,4.5,0.437,1.965,0.608
16,True,0.0,0.08,True,162,22,2339,343,0.932,7.793,6.027,50.411,1.614
17,True,0.0,0.08,False,7,2,181,456,1.093,4.918,0.437,1.965,0.624
18,True,0.0,0.09,True,154,22,1924,351,1.131,9.044,5.898,47.185,1.898
19,True,0.0,0.09,False,7,2,168,456,1.176,5.294,0.437,1.965,0.637
20,True,0.0,0.1,True,147,21,1564,362,1.325,10.599,5.483,43.864,2.134
21,True,0.0,0.1,False,7,2,157,456,1.258,5.66,0.437,1.965,0.649
22,True,0.0,0.11,True,134,20,1282,378,1.536,11.828,5.025,38.693,2.353
23,True,0.0,0.11,False,7,2,149,456,1.325,5.96,0.437,1.965,0.657
24,True,0.0,0.12,True,130,19,1097,383,1.703,13.351,4.726,37.065,2.504
25,True,0.0,0.12,False,7,2,145,456,1.361,6.122,0.437,1.965,0.662
26,True,0.0,0.13,True,120,17,955,395,1.749,14.095,4.126,33.252,2.457
27,True,0.0,0.13,False,7,2,133,456,1.481,6.667,0.437,1.965,0.675
28,True,0.0,0.14,True,114,15,811,403,1.816,15.617,3.589,30.861,2.412
29,True,0.0,0.14,False,7,2,128,456,1.538,6.923,0.437,1.965,0.681
30,True,0.0,0.15,True,109,13,718,410,1.778,16.689,3.073,28.842,2.253
31,True,0.0,0.15,False,7,2,125,456,1.575,7.087,0.437,1.965,0.684
32,True,0.0,0.16,True,104,13,639,415,1.994,17.945,3.037,27.336,2.407
33,True,0.0,0.16,False,7,2,122,456,1.613,7.258,0.437,1.965,0.688
34,True,0.0,0.17,True,100,12,555,419,2.116,19.753,2.784,25.986,2.404
35,True,0.0,0.17,False,7,2,121,456,1.626,7.317,0.437,1.965,0.689
36,True,0.0,0.18,True,99,12,491,421,2.386,22.068,2.771,25.635,2.564
37,True,0.0,0.18,False,7,2,117,456,1.681,7.563,0.437,1.965,0.694
38,True,0.0,0.19,True,97,12,436,422,2.679,24.33,2.765,25.115,2.721
39,True,0.0,0.19,False,7,2,117,456,1.681,7.563,0.437,1.965,0.694
40,True,0.0,0.2,True,96,12,401,424,2.906,26.15,2.752,24.771,2.827
41,True,0.0,0.2,False,7,2,117,456,1.681,7.563,0.437,1.965,0.694
42,True,0.0,0.21,True,94,12,361,428,3.217,28.418,2.727,24.091,2.952
43,True,0.0,0.21,False,7,2,115,456,1.709,7.692,0.437,1.965,0.696
44,True,0.0,0.22,True,88,12,324,433,3.571,29.762,2.697,22.472,3.073
45,True,0.0,0.22,False,7,2,114,456,1.724,7.759,0.437,1.965,0.697
46,True,0.0,0.23,True,81,12,290,441,3.974,30.795,2.649,20.53,3.179
47,True,0.0,0.23,False,7,2,114,456,1.724,7.759,0.437,1.965,0.697
48,True,0.0,0.24,True,77,12,269,444,4.27,31.673,2.632,19.518,3.257
49,True,0.0,0.24,False,7,2,114,456,1.724,7.759,0.437,1.965,0.697
50,True,0.0,0.25,True,76,12,244,448,4.688,34.375,2.609,19.13,3.352
51,True,0.0,0.25,False,7,2,114,456,1.724,7.759,0.437,1.965,0.697
52,True,0.0,0.26,True,74,11,222,451,4.721,36.481,2.381,18.398,3.166
53,True,0.0,0.26,False,7,2,113,456,1.739,7.826,0.437,1.965,0.698
54,True,0.0,0.27,True,74,11,208,451,5.023,38.813,2.381,18.398,3.231
55,True,0.0,0.27,False,7,2,113,456,1.739,7.826,0.437,1.965,0.698
56,True,0.0,0.28,True,74,11,194,453,5.366,41.463,2.371,18.319,3.289
57,True,0.0,0.28,False,7,2,111,456,1.77,7.965,0.437,1.965,0.701
58,True,0.0,0.29,True,73,11,184,454,5.641,43.077,2.366,18.065,3.334
59,True,0.0,0.29,False,7,2,111,456,1.77,7.965,0.437,1.965,0.701
60,True,0.0,0.3,True,72,11,174,456,5.946,44.865,2.355,17.773,3.374
61,True,0.0,0.3,False,7,2,108,456,1.818,8.182,0.437,1.965,0.705
62,True,0.0,0.31,True,70,11,162,458,6.358,46.821,2.345,17.271,3.426
63,True,0.0,0.31,False,7,2,107,456,1.835,8.257,0.437,1.965,0.706
64,True,0.0,0.32,True,68,10,153,461,6.135,47.853,2.123,16.561,3.154
65,True,0.0,0.32,False,7,2,107,456,1.835,8.257,0.437,1.965,0.706
66,True,0.0,0.33,True,66,10,143,465,6.536,49.673,2.105,16.0,3.184
67,True,0.0,0.33,False,7,2,107,456,1.835,8.257,0.437,1.965,0.706
68,True,0.0,0.34,True,66,10,138,465,6.757,51.351,2.105,16.0,3.21
69,True,0.0,0.34,False,7,2,106,456,1.852,8.333,0.437,1.965,0.707
70,True,0.0,0.35,True,66,9,131,467,6.429,53.571,1.891,15.756,2.922
71,True,0.0,0.35,False,7,2,105,456,1.869,8.411,0.437,1.965,0.708
72,True,0.0,0.36,True,64,9,129,469,6.522,52.899,1.883,15.272,2.922
73,True,0.0,0.36,False,7,2,105,456,1.869,8.411,0.437,1.965,0.708
74,True,0.0,0.37,True,63,9,124,469,6.767,54.135,1.883,15.063,2.946
75,True,0.0,0.37,False,7,2,105,456,1.869,8.411,0.437,1.965,0.708
76,True,0.0,0.38,True,60,9,118,472,7.087,54.331,1.871,14.345,2.96
77,True,0.0,0.38,False,7,2,105,456,1.869,8.411,0.437,1.965,0.708
78,True,0.0,0.39,True,60,9,114,472,7.317,56.098,1.871,14.345,2.98
79,True,0.0,0.39,False,7,2,105,456,1.869,8.411,0.437,1.965,0.708
80,True,0.0,0.4,True,60,9,108,473,7.692,58.974,1.867,14.315,3.005
81,True,0.0,0.4,False,7,2,104,456,1.887,8.491,0.437,1.965,0.71
82,True,0.0,0.41,True,59,7,101,476,6.481,61.111,1.449,13.665,2.368
83,True,0.0,0.41,False,7,2,104,456,1.887,8.491,0.437,1.965,0.71
84,True,0.0,0.42,True,56,7,96,479,6.796,61.165,1.44,12.963,2.376
85,True,0.0,0.42,False,7,2,102,456,1.923,8.654,0.437,1.965,0.712
86,True,0.0,0.43,True,55,7,94,480,6.931,61.386,1.437,12.731,2.38
87,True,0.0,0.43,False,7,2,102,456,1.923,8.654,0.437,1.965,0.712
88,True,0.0,0.44,True,52,7,87,483,7.447,62.766,1.429,12.041,2.398
89,True,0.0,0.44,False,7,2,101,456,1.942,8.738,0.437,1.965,0.713
90,True,0.0,0.45,True,49,7,81,487,7.955,63.636,1.417,11.336,2.406
